Campaign,Ad Group,Keyword,Criterion Type,Final URL
"Google CPA US - Maternity","Dresses_Baby Shower","gender neutral maternity baby shower dress","Exact",
"Maternity Events","Wedding","maternity formal wedding guest dress","Exact",
"Maternity Events","Wedding","bump friendly wedding guest dress","Exact",
"Maternity Events","Wedding","formal maternity wedding guest dress","Exact",
"Maternity Style","Work Wear","maternity office wear","Exact",
"Maternity Style","Work Wear","best maternity work clothes","Exact",
"Maternity Style","Work Wear","maternity business casual","Exact",
"OMG | SR | NB | US | Maternity Swim","Maternity Swimwear EM","maternity bathing suit","Exact",
"OMG | SR | NB | US | Maternity Swim","Maternity Swimwear EM","maternity tankini","Exact",
"OMG | SR | NB | US | Maternity Swim","Maternity Swimwear EM","best maternity swimsuits","Exact",
"OMG | SR | NB | US | Nursing","Nursing Dresses","nursing friendly wedding guest dress","Exact",
"OMG | SR | NB | US | Nursing","Nursing Dresses","breastfeeding friendly wedding guest dress","Exact",
"OMG | SR | NB | US | Nursing","Nursing Dresses","nursing formal dress","Exact",
"OMG | SR | NB | US | Nursing","Nursing Dresses","nursing dresses formal","Exact",
"OMG | SR | NB | US | Nursing","Nursing Tops","nursing t shirt","Exact",
"OMG | SR | NB | US | Nursing","Nursing Tops","breastfeeding friendly dresses","Exact",
"OMG | SR | NB | US | Nursing","Nursing Tops","nursing friendly clothes","Exact",
"OMG | SR | NB | US | Nursing","Nursing Tops","breastfeeding tops","Exact",
"OMG | SR | NB | US | Maternity Dresses","Baby Shower Dresses","plus size maternity baby shower dress","Exact",
"OMG | SR | NB | US | Maternity Dresses","Baby Shower Dresses","blue maternity dresses for baby shower","Exact",
"OMG | SR | NB | US | Maternity Dresses","Baby Shower Dresses","pink maternity baby shower dress","Exact",
"OMG | SR | NB | US | Maternity Dresses","Maternity Wedding Guest Dresses","maternity dresses for wedding guests","Exact",
"Search US - Workwear","Maternity Work Clothes","maternity office clothes","Exact",
"Search US - Workwear","Maternity Work Clothes","professional maternity clothes","Exact",
"Search US - Workwear","Maternity Work Pants","maternity office wear","Exact",